,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1900,0.349,0.293,-9.606,0.034,0.464,0.0,0.108,0.349,161.832
1901,0.471,0.858,-5.189,0.0505,0.00604,4.79e-05,0.11,0.359,124.068
1902,0.538,0.857,-4.48,0.0333,9.71e-05,0.0,0.347,0.578,109.052
1903,0.346,0.805,-3.963,0.0439,0.0158,0.0,0.301,0.397,86.103
1904,0.48,0.893,-4.376,0.0624,0.000999,0.0,0.379,0.527,123.947
1905,0.439,0.945,-3.814,0.0577,0.000114,0.0,0.113,0.195,124.072
1906,0.387,0.41,-9.271,0.0289,0.155,0.0,0.102,0.253,147.769
1907,0.405,0.915,-3.874,0.0855,0.00019,0.0,0.308,0.408,133.972
1908,0.494,0.829,-4.391,0.039,0.0194,0.0,0.113,0.392,126.889
1909,0.479,0.839,-5.863,0.0443,8.59e-06,0.000226,0.104,0.269,113.958
1910,0.383,0.431,-6.652,0.0328,0.0613,0.0,0.0911,0.168,110.097
1911,0.402,0.922,-4.259,0.057,5.05e-05,2.23e-05,0.239,0.373,133.951
1912,0.257,0.809,-4.717,0.0387,0.00703,0.00116,0.199,0.16,99.847
1913,0.458,0.348,-9.006,0.0279,0.69,5.09e-06,0.102,0.317,145.96
1914,0.538,0.857,-4.48,0.0333,9.71e-05,0.0,0.347,0.578,109.052
1915,0.346,0.805,-3.963,0.0439,0.0158,0.0,0.301,0.397,86.103
1916,0.48,0.893,-4.376,0.0624,0.000999,0.0,0.379,0.527,123.947
1917,0.439,0.945,-3.814,0.0577,0.000114,0.0,0.113,0.195,124.072
1918,0.387,0.41,-9.271,0.0289,0.155,0.0,0.102,0.253,147.769
1919,0.405,0.915,-3.874,0.0855,0.00019,0.0,0.308,0.408,133.972
1920,0.494,0.829,-4.391,0.039,0.0194,0.0,0.113,0.392,126.889
1921,0.479,0.839,-5.863,0.0443,8.59e-06,0.000226,0.104,0.269,113.958
1922,0.383,0.431,-6.652,0.0328,0.0613,0.0,0.0911,0.168,110.097
1923,0.402,0.922,-4.259,0.057,5.05e-05,2.23e-05,0.239,0.373,133.951
1924,0.257,0.809,-4.717,0.0387,0.00703,0.00116,0.199,0.16,99.847
1925,0.458,0.348,-9.006,0.0279,0.69,5.09e-06,0.102,0.317,145.96
1926,0.478,0.876,-4.267,0.0392,9.2e-05,0.0,0.148,0.2,137.067
1927,0.458,0.759,-4.407,0.0338,0.00372,0.0,0.172,0.185,108.986
1928,0.407,0.32,-13.289,0.0329,0.583,0.00178,0.197,0.174,80.996
1929,0.538,0.857,-4.48,0.0333,9.71e-05,0.0,0.347,0.578,109.052
1930,0.346,0.805,-3.963,0.0439,0.0158,0.0,0.301,0.397,86.103
1931,0.48,0.893,-4.376,0.0624,0.000999,0.0,0.379,0.527,123.947
1932,0.439,0.945,-3.814,0.0577,0.000114,0.0,0.113,0.195,124.072
1933,0.387,0.41,-9.271,0.0289,0.155,0.0,0.102,0.253,147.769
1934,0.405,0.915,-3.874,0.0855,0.00019,0.0,0.308,0.408,133.972
1935,0.494,0.829,-4.391,0.039,0.0194,0.0,0.113,0.392,126.889
1936,0.479,0.839,-5.863,0.0443,8.59e-06,0.000226,0.104,0.269,113.958
1937,0.383,0.431,-6.652,0.0328,0.0613,0.0,0.0911,0.168,110.097
1938,0.402,0.922,-4.259,0.057,5.05e-05,2.23e-05,0.239,0.373,133.951
1939,0.257,0.809,-4.717,0.0387,0.00703,0.00116,0.199,0.16,99.847
1940,0.458,0.348,-9.006,0.0279,0.69,5.09e-06,0.102,0.317,145.96
1941,0.478,0.876,-4.267,0.0392,9.2e-05,0.0,0.148,0.2,137.067
1942,0.458,0.759,-4.407,0.0338,0.00372,0.0,0.172,0.185,108.986
1943,0.407,0.32,-13.289,0.0329,0.583,0.00178,0.197,0.174,80.996
1944,0.539,0.857,-4.48,0.0333,9.53e-05,0.0,0.347,0.577,109.057
1945,0.348,0.806,-3.963,0.0439,0.0156,0.0,0.301,0.398,86.076
1946,0.478,0.892,-4.376,0.0626,0.000987,0.0,0.379,0.522,123.954
1947,0.448,0.945,-3.812,0.0567,0.000112,0.0,0.113,0.198,124.094
1948,0.369,0.41,-9.272,0.0297,0.154,0.0,0.102,0.253,73.808
1949,0.402,0.915,-3.874,0.0879,0.000188,0.0,0.308,0.408,133.998
1950,0.494,0.829,-4.391,0.039,0.0197,0.0,0.114,0.392,126.81
1951,0.482,0.841,-5.856,0.0436,9.23e-06,0.00018,0.104,0.279,113.948
1952,0.353,0.432,-6.597,0.0326,0.0609,0.0,0.0912,0.163,109.841
1953,0.403,0.923,-4.257,0.0567,4.71e-05,2.67e-05,0.279,0.357,133.934
1954,0.268,0.811,-4.721,0.039,0.00707,0.00101,0.2,0.167,98.7
1955,0.442,0.348,-9.006,0.028,0.685,5.53e-06,0.102,0.315,145.677
1956,0.477,0.876,-4.267,0.0384,9.78e-05,0.0,0.146,0.201,137.031
1957,0.458,0.761,-4.41,0.034,0.00381,0.0,0.172,0.174,108.981
1958,0.403,0.32,-13.291,0.0322,0.577,0.00176,0.2,0.178,80.971
1959,0.472,0.292,-9.528,0.0314,0.482,1.94e-06,0.108,0.356,79.92
