,title,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,Opening - Live,Duran Duran,0.307,0.153,-25.952,0.0443,0.883,0.971,0.84,0.13,79.853
1,Intro - Live,Duran Duran,0.478,0.561,-14.545,0.0754,0.121,0.0114,0.881,0.257,118.898
2,Medazzaland - Live,Duran Duran,0.501,0.927,-6.744,0.069,0.0555,0.0477,0.701,0.537,118.744
3,Big Bang Generation - Live,Duran Duran,0.542,0.902,-6.028,0.104,0.00157,0.0121,0.697,0.245,99.944
4,Hungry Like the Wolf - Live,Duran Duran,0.574,0.932,-5.841,0.0711,0.0338,9.28e-06,0.717,0.665,128.864
5,Who Do You Think You Are? - Live,Duran Duran,0.281,0.578,-5.872,0.0306,0.024,9.42e-06,0.699,0.177,129.021
6,Electric Barbarella - Live,Duran Duran,0.494,0.837,-5.354,0.0434,0.00513,0.0162,0.82,0.515,128.941
7,A View to a Kill - Live,Duran Duran,0.55,0.698,-5.881,0.058,0.0271,3.05e-05,0.776,0.337,124.775
8,Out of My Mind - Live,Duran Duran,0.505,0.701,-7.299,0.0392,0.0419,0.00066,0.989,0.331,86.012
9,Save a Prayer - Live,Duran Duran,0.534,0.689,-6.674,0.0267,0.0318,1.91e-06,0.815,0.377,113.644
10,Be My Icon - Live,Duran Duran,0.508,0.733,-6.379,0.0392,0.0073,3.56e-05,0.779,0.399,96.011
11,Buried in the Sand - Live,Duran Duran,0.619,0.744,-9.003,0.0249,0.0113,0.058,0.946,0.335,99.949
12,Come Undone - Live,Duran Duran,0.404,0.778,-6.368,0.0464,0.129,6e-05,0.692,0.376,173.892
13,Anyone out There - Live,Duran Duran,0.47,0.857,-6.254,0.0632,0.0151,0.00276,0.771,0.385,138.235
14,Friends of Mine - Live,Duran Duran,0.436,0.895,-5.157,0.0768,0.0366,4.21e-05,0.795,0.35,126.232
15,Careless Memories - Live,Duran Duran,0.436,0.939,-5.556,0.0742,0.026,0.0299,0.979,0.711,161.792
16,Secret Oktober - Live,Duran Duran,0.542,0.445,-9.158,0.026,0.0279,1.87e-06,0.728,0.178,120.631
17,Ordinary World - Live,Duran Duran,0.446,0.709,-6.477,0.0328,0.048,4.69e-05,0.561,0.334,139.807
18,Rio - Live,Duran Duran,0.428,0.955,-5.901,0.19,0.0148,0.000185,0.762,0.297,140.926
19,Paper Gods (feat. Mr Hudson),Duran Duran,0.646,0.488,-11.389,0.0311,0.000148,0.00156,0.105,0.142,114.973
20,Last Night in the City (feat. Kiesza),Duran Duran,0.599,0.694,-7.095,0.0275,0.000518,0.000174,0.322,0.205,121.925
21,You Kill Me with Silence,Duran Duran,0.578,0.638,-7.155,0.0286,0.00218,0.000181,0.157,0.385,160.043
22,Pressure Off (feat. Janelle Monáe and Nile Rodgers),Duran Duran,0.733,0.876,-4.56,0.0385,0.00452,4.25e-06,0.916,0.63,112.981
23,Face for Today,Duran Duran,0.652,0.726,-6.126,0.0598,0.000576,0.00171,0.0943,0.624,120.022
24,Danceophobia,Duran Duran,0.77,0.494,-8.635,0.073,0.00231,1.13e-06,0.339,0.67,124.023
25,What Are the Chances?,Duran Duran,0.441,0.662,-5.04,0.0271,0.0161,1.88e-06,0.048,0.0936,82.468
26,Sunset Garage,Duran Duran,0.625,0.889,-4.922,0.0436,0.0101,0.0,0.27,0.608,126.996
27,Change the Skyline (feat. Jonas Bjerre),Duran Duran,0.656,0.641,-6.581,0.0289,0.000235,5.81e-05,0.0561,0.596,124.961
28,Butterfly Girl,Duran Duran,0.731,0.815,-4.934,0.0443,0.000583,0.000245,0.141,0.63,116.002
29,Only in Dreams,Duran Duran,0.611,0.649,-6.914,0.0596,0.00638,0.0078,0.0891,0.226,111.913
30,The Universe Alone,Duran Duran,0.253,0.738,-5.731,0.049,0.167,0.0156,0.0584,0.0646,106.015
31,Paper Gods (feat. Mr Hudson),Duran Duran,0.646,0.488,-11.389,0.0311,0.000148,0.00156,0.105,0.142,114.973
32,Last Night in the City (feat. Kiesza),Duran Duran,0.599,0.694,-7.095,0.0275,0.000518,0.000174,0.322,0.205,121.925
33,You Kill Me with Silence,Duran Duran,0.578,0.638,-7.155,0.0286,0.00218,0.000181,0.157,0.385,160.043
34,Pressure Off (feat. Janelle Monáe and Nile Rodgers),Duran Duran,0.733,0.876,-4.56,0.0385,0.00452,4.25e-06,0.916,0.63,112.981
35,Face for Today,Duran Duran,0.652,0.726,-6.126,0.0598,0.000576,0.00171,0.0943,0.624,120.022
36,Danceophobia,Duran Duran,0.77,0.494,-8.635,0.073,0.00231,1.13e-06,0.339,0.67,124.023
37,What Are the Chances?,Duran Duran,0.441,0.662,-5.04,0.0271,0.0161,1.88e-06,0.048,0.0936,82.468
38,Sunset Garage,Duran Duran,0.625,0.889,-4.922,0.0436,0.0101,0.0,0.27,0.608,126.996
39,Change the Skyline (feat. Jonas Bjerre),Duran Duran,0.656,0.641,-6.581,0.0289,0.000235,5.81e-05,0.0561,0.596,124.961
40,Butterfly Girl,Duran Duran,0.731,0.815,-4.934,0.0443,0.000583,0.000245,0.141,0.63,116.002
41,Only in Dreams,Duran Duran,0.611,0.649,-6.914,0.0596,0.00638,0.0078,0.0891,0.226,111.913
42,The Universe Alone,Duran Duran,0.253,0.738,-5.731,0.049,0.167,0.0156,0.0584,0.0646,106.015
43,Planet Roaring,Duran Duran,0.59,0.899,-5.715,0.0351,0.000407,0.000125,0.101,0.728,127.981
44,Valentine Stones,Duran Duran,0.784,0.695,-6.677,0.0362,0.000705,0.0154,0.112,0.569,118.009
45,Northern Lights,Duran Duran,0.638,0.733,-6.966,0.0702,0.00237,0.00251,0.312,0.218,109.957
46,Before The Rain,Duran Duran,0.315,0.669,-5.743,0.0398,0.00113,0.0,0.933,0.267,78.204
47,Planet Earth,Duran Duran,0.492,0.976,-4.726,0.121,0.000115,0.0262,0.97,0.141,131.611
48,View To A Kill,Duran Duran,0.588,0.935,-4.282,0.0765,0.00172,0.000757,0.953,0.5,125.458
49,All You Need Is Now,Duran Duran,0.566,0.953,-4.475,0.0455,0.000642,0.0,0.986,0.471,122.006
50,Come Undone,Duran Duran,0.502,0.946,-4.138,0.0589,0.00358,2.76e-05,0.99,0.635,174.014
51,Blame The Machines,Duran Duran,0.552,0.966,-3.924,0.045,0.000481,0.0169,0.988,0.664,145.046
52,The Reflex,Duran Duran,0.587,0.992,-2.993,0.12,0.00199,0.0,0.933,0.517,127.026
53,Girl Panic !,Duran Duran,0.467,0.988,-4.202,0.169,4.45e-05,0.0953,0.98,0.384,128.992
54,Ordinary World,Duran Duran,0.322,0.754,-5.149,0.0424,0.00208,0.000196,0.982,0.325,139.706
55,Notorious,Duran Duran,0.7,0.974,-2.712,0.164,0.0494,0.0,0.39,0.591,106.599
56,Hungry Like The Wolf,Duran Duran,0.507,0.977,-4.796,0.11,0.000221,0.000877,0.873,0.505,129.066
57,[Reach Up For The] Sunrise,Duran Duran,0.459,0.974,-4.069,0.118,0.00119,0.000752,0.973,0.345,129.989
58,Wild Boys /Relax,Duran Duran,0.502,0.976,-3.551,0.168,0.000446,0.000187,0.966,0.277,115.688
59,Rio,Duran Duran,0.414,0.975,-3.009,0.0981,0.00435,0.00185,0.96,0.518,140.982
60,Before the Rain - Live,Duran Duran,0.315,0.669,-5.743,0.0398,0.00113,0.0,0.933,0.267,78.204
61,Planet Earth - Live,Duran Duran,0.492,0.976,-4.726,0.121,0.000115,0.0262,0.97,0.141,131.622
62,View to a Kill - Live,Duran Duran,0.588,0.935,-4.282,0.0765,0.00172,0.000757,0.953,0.499,125.458
63,All You Need Is Now - Live,Duran Duran,0.566,0.953,-4.475,0.0456,0.000642,0.0,0.986,0.471,122.007
64,Come Undone - Live,Duran Duran,0.502,0.946,-4.138,0.0589,0.00358,2.76e-05,0.99,0.635,174.015
65,Blame the Machines - Live,Duran Duran,0.552,0.966,-3.924,0.045,0.000481,0.0169,0.988,0.664,145.046
66,The Reflex - Live,Duran Duran,0.587,0.992,-2.993,0.12,0.00199,0.0,0.933,0.517,127.026
67,Girl Panic ! - Live,Duran Duran,0.467,0.988,-4.202,0.169,4.45e-05,0.0953,0.98,0.384,128.991
68,Ordinary World - Live,Duran Duran,0.322,0.754,-5.149,0.0424,0.00208,0.000196,0.982,0.325,139.696
69,Notorious - Live,Duran Duran,0.701,0.974,-2.712,0.164,0.0494,0.0,0.39,0.591,106.599
70,Hungry Like the Wolf - Live,Duran Duran,0.507,0.977,-4.796,0.11,0.000221,0.000877,0.873,0.505,129.066
71,(Reach up for The) Sunrise - Live,Duran Duran,0.459,0.974,-4.069,0.118,0.00119,0.000752,0.973,0.345,129.982
72,Wild Boys /Relax - Live,Duran Duran,0.502,0.976,-3.551,0.168,0.000446,0.000187,0.966,0.277,115.688
73,Rio - Live,Duran Duran,0.414,0.975,-3.009,0.0981,0.00435,0.00185,0.96,0.518,140.98
74,"Before The Rain - Live At The MEN Arena, Manchester, England / 2011",Duran Duran,0.306,0.665,-5.765,0.043,0.00104,0.0,0.891,0.259,78.252
75,"Planet Earth - Live At The MEN Arena, Manchester, England / 2011",Duran Duran,0.49,0.975,-4.708,0.119,9.88e-05,0.0186,0.97,0.138,131.608
76,"View To A Kill - Live At The MEN Arena, Manchester, England / 2011",Duran Duran,0.587,0.935,-4.275,0.0667,0.00135,0.000947,0.951,0.527,125.458
77,"All You Need Is Now - Live At The MEN Arena, Manchester, England / 2011",Duran Duran,0.566,0.95,-4.481,0.0442,0.000502,0.0,0.987,0.513,122.029
78,"Come Undone - Live At The MEN Arena, Manchester, England / 2011",Duran Duran,0.502,0.941,-4.163,0.0606,0.00362,1.67e-05,0.99,0.66,173.978
79,"Blame The Machines - Live At The MEN Arena, Manchester, England / 2011",Duran Duran,0.556,0.966,-3.922,0.0464,0.000447,0.0139,0.988,0.664,145.055
80,"The Reflex - Live At The MEN Arena, Manchester, England / 2011",Duran Duran,0.582,0.992,-3.019,0.123,0.00201,0.0,0.944,0.573,127.012
81,"Girl Panic ! - Live At The MEN Arena, Manchester, England / 2011",Duran Duran,0.468,0.989,-4.184,0.16,4.34e-05,0.0667,0.982,0.344,128.989
82,"Ordinary World - Live At The MEN Arena, Manchester, England / 2011",Duran Duran,0.314,0.749,-5.146,0.0378,0.00291,0.000207,0.983,0.322,139.692
83,"Notorious - Live At The MEN Arena, Manchester, England / 2011",Duran Duran,0.698,0.977,-2.721,0.156,0.0486,0.0,0.393,0.593,106.591
84,"Hungry Like The Wolf - Live At The MEN Arena, Manchester, England / 2011",Duran Duran,0.503,0.974,-4.814,0.129,0.00022,0.00119,0.874,0.467,129.081
85,"(Reach Up For The) Sunrise - Live At The MEN Arena, Manchester, England / 2011",Duran Duran,0.468,0.977,-4.048,0.119,0.00129,0.000989,0.972,0.344,129.955
86,"Wild Boys / Relax Medley - Live At The MEN Arena, Manchester, England / 2011",Duran Duran,0.504,0.977,-3.534,0.167,0.000469,0.00018,0.952,0.261,115.69
87,"Rio - Live At The MEN Arena, Manchester, England / 2011",Duran Duran,0.397,0.975,-3.028,0.1,0.00418,0.0024,0.961,0.551,140.937
88,All You Need Is Now,Duran Duran,0.627,0.919,-4.428,0.0309,0.0295,3.16e-05,0.917,0.83,121.97
89,Blame the Machines,Duran Duran,0.576,0.736,-4.527,0.0335,0.000396,0.000555,0.0711,0.45,144.989
90,Being Followed,Duran Duran,0.568,0.885,-3.843,0.0372,0.000476,2.42e-05,0.429,0.572,137.992
91,Leave A Light On,Duran Duran,0.505,0.609,-5.767,0.0275,0.375,0.0,0.0997,0.251,93.987
92,Safe (In The Heat Of The Moment),Duran Duran,0.715,0.751,-5.314,0.0547,0.00163,4.01e-05,0.0426,0.774,119.97
93,Girl Panic !,Duran Duran,0.605,0.933,-4.11,0.0536,0.000195,0.0434,0.0819,0.772,129.02
94,A Diamond In The Mind,Duran Duran,0.14,0.403,-12.635,0.0357,0.969,0.566,0.134,0.0555,89.13
95,The Man Who Stole A Leopard,Duran Duran,0.654,0.697,-6.101,0.0462,0.00109,1.58e-06,0.095,0.415,120.001
96,Other People's Lives,Duran Duran,0.558,0.929,-3.798,0.0487,8.87e-05,0.0234,0.239,0.736,140.007
97,Mediterranea,Duran Duran,0.599,0.823,-5.601,0.0345,0.025,1.93e-05,0.0836,0.38,113.373
98,Too Bad You're So Beautiful,Duran Duran,0.578,0.915,-4.643,0.0437,9.33e-05,0.000168,0.0736,0.5,133.967
99,Runway Runaway,Duran Duran,0.512,0.839,-5.281,0.034,9.41e-05,5.33e-05,0.29,0.664,140.993
100,Return To Now,Duran Duran,0.0975,0.202,-15.49,0.0364,0.881,0.899,0.126,0.0402,88.348
101,Before The Rain,Duran Duran,0.423,0.558,-6.822,0.0263,0.0058,1.33e-06,0.357,0.165,78.007
102,All You Need Is Now,Duran Duran,0.627,0.919,-4.428,0.0309,0.0295,3.16e-05,0.917,0.83,121.97
103,Blame the Machines,Duran Duran,0.576,0.736,-4.527,0.0335,0.000396,0.000555,0.0711,0.45,144.989
104,Being Followed,Duran Duran,0.568,0.885,-3.843,0.0372,0.000476,2.42e-05,0.429,0.572,137.992
105,Leave A Light On,Duran Duran,0.505,0.609,-5.767,0.0275,0.375,0.0,0.0997,0.251,93.987
106,Safe (In The Heat Of The Moment),Duran Duran,0.715,0.751,-5.314,0.0547,0.00163,4.01e-05,0.0426,0.774,119.97
107,Girl Panic !,Duran Duran,0.605,0.933,-4.11,0.0536,0.000195,0.0434,0.0819,0.772,129.02
108,A Diamond In The Mind,Duran Duran,0.14,0.403,-12.635,0.0357,0.969,0.566,0.134,0.0555,89.13
109,The Man Who Stole A Leopard,Duran Duran,0.654,0.697,-6.101,0.0462,0.00109,1.58e-06,0.095,0.415,120.001
110,Other People's Lives,Duran Duran,0.558,0.929,-3.798,0.0487,8.87e-05,0.0234,0.239,0.736,140.007
111,Mediterranea,Duran Duran,0.599,0.823,-5.601,0.0345,0.025,1.93e-05,0.0836,0.38,113.373
112,Too Bad You're So Beautiful,Duran Duran,0.578,0.915,-4.643,0.0437,9.33e-05,0.000168,0.0736,0.5,133.967
113,Runway Runaway,Duran Duran,0.512,0.839,-5.281,0.034,9.41e-05,5.33e-05,0.29,0.664,140.993
114,Return To Now,Duran Duran,0.0975,0.202,-15.49,0.0364,0.881,0.899,0.126,0.0402,88.348
115,Before The Rain,Duran Duran,0.423,0.558,-6.822,0.0263,0.0058,1.33e-06,0.357,0.165,78.007
116,All You Need Is Now,Duran Duran,0.63,0.931,-4.252,0.0312,0.0356,0.000137,0.894,0.832,121.973
117,Blame the Machines,Duran Duran,0.575,0.767,-4.426,0.0332,0.000434,0.000226,0.0686,0.493,144.989
118,Being Followed,Duran Duran,0.571,0.893,-3.735,0.0359,0.000388,4.41e-05,0.324,0.603,137.982
119,Leave a Light On,Duran Duran,0.508,0.607,-5.669,0.0275,0.345,0.0,0.1,0.278,94.035
120,Safe - In the Heat of the Moment,Duran Duran,0.705,0.76,-5.188,0.0559,0.00159,2.78e-05,0.0575,0.786,119.976
121,Girl Panic!,Duran Duran,0.601,0.935,-4.013,0.0579,0.00017,0.0558,0.0768,0.766,129.016
122,A Diamond in the Mind,Duran Duran,0.247,0.408,-12.594,0.0351,0.971,0.767,0.136,0.0606,90.812
123,The Man Who Stole a Leopard,Duran Duran,0.651,0.705,-5.968,0.0458,0.000975,2.09e-06,0.0844,0.421,119.986
124,Other People's Lives,Duran Duran,0.56,0.924,-3.71,0.0474,8e-05,0.0358,0.152,0.708,140.005
125,Mediterranea,Duran Duran,0.603,0.835,-5.445,0.0349,0.0242,1.38e-05,0.0976,0.443,113.331
126,Too Bad You're so Beautiful,Duran Duran,0.574,0.916,-4.506,0.0426,9.18e-05,0.000263,0.0737,0.542,133.96
127,Runway Runaway,Duran Duran,0.512,0.835,-5.087,0.0321,9.59e-05,4.8e-05,0.288,0.698,141.01
128,Return to Now,Duran Duran,0.136,0.208,-15.366,0.0402,0.887,0.883,0.131,0.042,94.075
129,Before the Rain,Duran Duran,0.418,0.52,-6.878,0.0284,0.00744,4.93e-06,0.354,0.138,77.992
130,All You Need Is Now,Duran Duran,0.627,0.919,-4.428,0.0309,0.0295,3.16e-05,0.917,0.83,121.97
131,Blame the Machines,Duran Duran,0.576,0.736,-4.527,0.0335,0.000396,0.000555,0.0711,0.45,144.989
132,Being Followed,Duran Duran,0.568,0.885,-3.843,0.0372,0.000476,2.42e-05,0.429,0.572,137.992
133,Leave A Light On,Duran Duran,0.505,0.609,-5.767,0.0275,0.375,0.0,0.0997,0.251,93.987
134,Safe (In The Heat Of The Moment),Duran Duran,0.715,0.751,-5.314,0.0547,0.00163,4.01e-05,0.0426,0.774,119.97
135,Girl Panic !,Duran Duran,0.605,0.933,-4.11,0.0536,0.000195,0.0434,0.0819,0.772,129.02
136,A Diamond In The Mind,Duran Duran,0.14,0.403,-12.635,0.0357,0.969,0.566,0.134,0.0555,89.13
137,The Man Who Stole A Leopard,Duran Duran,0.654,0.697,-6.101,0.0462,0.00109,1.58e-06,0.095,0.415,120.001
138,Other People's Lives,Duran Duran,0.558,0.929,-3.798,0.0487,8.87e-05,0.0234,0.239,0.736,140.007
139,Mediterranea,Duran Duran,0.599,0.823,-5.601,0.0345,0.025,1.93e-05,0.0836,0.38,113.373
140,Too Bad You're So Beautiful,Duran Duran,0.578,0.915,-4.643,0.0437,9.33e-05,0.000168,0.0736,0.5,133.967
141,Runway Runaway,Duran Duran,0.512,0.839,-5.281,0.034,9.41e-05,5.33e-05,0.29,0.664,140.993
142,Return To Now,Duran Duran,0.0975,0.202,-15.49,0.0364,0.881,0.899,0.126,0.0402,88.348
143,Before The Rain,Duran Duran,0.376,0.546,-6.948,0.0264,0.00567,1.98e-06,0.336,0.187,155.987
144,All You Need Is Now,Duran Duran,0.63,0.931,-4.252,0.0312,0.0356,0.000137,0.894,0.832,121.973
145,Blame the Machines,Duran Duran,0.575,0.767,-4.426,0.0332,0.000434,0.000226,0.0686,0.493,144.989
146,Being Followed,Duran Duran,0.571,0.893,-3.735,0.0359,0.000388,4.41e-05,0.324,0.603,137.982
147,Leave a Light On,Duran Duran,0.508,0.607,-5.669,0.0275,0.345,0.0,0.1,0.278,94.035
148,Safe (In the Heat of the Moment),Duran Duran,0.705,0.76,-5.188,0.0559,0.00159,2.78e-05,0.0575,0.786,119.976
149,Girl Panic !,Duran Duran,0.601,0.935,-4.013,0.0579,0.00017,0.0558,0.0768,0.766,129.016
150,A Diamond in the Mind,Duran Duran,0.247,0.408,-12.594,0.0351,0.971,0.767,0.136,0.0606,90.812
151,The Man Who Stole a Leopard,Duran Duran,0.651,0.705,-5.968,0.0458,0.000975,2.09e-06,0.0844,0.421,119.986
152,Other People's Lives,Duran Duran,0.56,0.924,-3.71,0.0474,8e-05,0.0358,0.152,0.708,140.005
153,Mediterranea,Duran Duran,0.603,0.835,-5.445,0.0349,0.0242,1.38e-05,0.0976,0.443,113.331
154,Too Bad You're So Beautiful,Duran Duran,0.574,0.916,-4.506,0.0426,9.18e-05,0.000263,0.0737,0.542,133.96
155,Runway Runaway,Duran Duran,0.512,0.835,-5.087,0.0321,9.59e-05,4.8e-05,0.288,0.698,141.01
156,Return to Now,Duran Duran,0.136,0.208,-15.366,0.0402,0.887,0.883,0.131,0.042,94.075
157,Before the Rain,Duran Duran,0.418,0.52,-6.878,0.0284,0.00744,4.93e-06,0.354,0.138,77.992
158,All You Need Is Now,Duran Duran,0.631,0.927,-4.282,0.0313,0.0303,6.94e-05,0.801,0.849,121.968
159,Blame the Machines,Duran Duran,0.58,0.745,-4.387,0.0328,0.000341,0.000538,0.109,0.435,144.993
160,Being Followed,Duran Duran,0.578,0.887,-3.776,0.0385,0.000462,3.05e-05,0.439,0.61,137.977
161,Leave a Light On,Duran Duran,0.504,0.623,-5.695,0.0276,0.323,1.01e-06,0.1,0.232,93.979
162,Safe - In the Heat of the Moment,Duran Duran,0.715,0.752,-5.224,0.0559,0.00195,3.51e-05,0.0592,0.768,119.966
163,Girl Panic !,Duran Duran,0.602,0.935,-4.0,0.0536,0.000165,0.0505,0.0905,0.77,129.014
164,A Diamond in the Mind,Duran Duran,0.173,0.383,-12.62,0.0378,0.972,0.809,0.135,0.0596,99.761
165,The Man Who Stole a Leopard,Duran Duran,0.653,0.705,-5.96,0.0448,0.000965,1.78e-06,0.0859,0.396,119.996
166,Other People's Lives,Duran Duran,0.558,0.932,-3.649,0.0478,7.53e-05,0.0179,0.187,0.701,140.004
167,Mediterranea,Duran Duran,0.601,0.835,-5.48,0.0342,0.0249,2.37e-05,0.14,0.407,113.326
168,Too Bad You're so Beautiful,Duran Duran,0.574,0.91,-4.523,0.0399,8.63e-05,0.000294,0.0951,0.574,133.964
169,Runaway Runaway,Duran Duran,0.51,0.836,-5.102,0.0329,0.000134,6.08e-05,0.291,0.651,140.977
170,Return to Now,Duran Duran,0.174,0.197,-15.264,0.039,0.865,0.9,0.128,0.0602,95.288
171,Before the Rain,Duran Duran,0.418,0.566,-6.782,0.0271,0.00527,2e-06,0.369,0.173,78.03
172,All You Need Is Now,Duran Duran,0.632,0.925,-4.268,0.031,0.0312,6.42e-05,0.902,0.85,121.983
173,Blame the Machines,Duran Duran,0.579,0.746,-4.415,0.0336,0.000432,0.00036,0.0732,0.465,144.992
174,Being Followed,Duran Duran,0.574,0.892,-3.738,0.0364,0.00047,3.51e-05,0.397,0.614,137.979
175,Leave a Light On,Duran Duran,0.507,0.603,-5.664,0.0277,0.34,0.0,0.0993,0.259,94.025
176,Safe (In the Heat of the Moment),Duran Duran,0.709,0.757,-5.196,0.0557,0.0016,2.87e-05,0.0501,0.759,119.984
177,Girl Panic!,Duran Duran,0.605,0.935,-4.009,0.0551,0.000157,0.0621,0.0825,0.761,129.023
178,A Diamond in the Mind,Duran Duran,0.091,0.404,-12.549,0.0413,0.971,0.862,0.133,0.0575,178.815
179,The Man Who Stole a Leopard,Duran Duran,0.653,0.708,-5.949,0.0443,0.00111,2.12e-06,0.0852,0.438,119.996
180,Other People Lives,Duran Duran,0.558,0.927,-3.71,0.0468,6.79e-05,0.0386,0.141,0.744,140.006
181,Mediterranea,Duran Duran,0.601,0.837,-5.463,0.0345,0.0254,1.43e-05,0.0711,0.399,113.365
182,Too Bad You're so Beautiful,Duran Duran,0.573,0.909,-4.506,0.0419,9.69e-05,0.000205,0.064,0.517,133.963
183,Runway Runaway,Duran Duran,0.512,0.838,-5.079,0.0315,0.000116,4.8e-05,0.286,0.679,140.992
184,Return to Now,Duran Duran,0.165,0.196,-15.447,0.0379,0.883,0.886,0.133,0.05,128.823
185,Before the Rain,Duran Duran,0.432,0.558,-6.846,0.0261,0.00506,1.99e-06,0.372,0.154,77.99
186,The Valley,Duran Duran,0.769,0.87,-4.23,0.0549,0.0212,0.00101,0.0713,0.642,124.959
187,Red Carpet Massacre,Duran Duran,0.725,0.816,-4.41,0.0453,0.254,1.05e-05,0.117,0.635,101.361
188,Nite-Runner,Duran Duran,0.779,0.576,-7.191,0.0515,0.000559,0.00316,0.0473,0.678,109.953
189,Falling Down (feat. Justin Timberlake),Duran Duran,0.55,0.697,-4.602,0.0258,6.69e-05,0.03,0.0958,0.543,85.995
190,Box full o' Honey,Duran Duran,0.7,0.643,-7.036,0.0289,0.141,5.18e-05,0.183,0.337,122.93
191,Skin Divers,Duran Duran,0.766,0.635,-8.149,0.0652,0.379,3.95e-05,0.121,0.511,116.967
192,Tempted,Duran Duran,0.732,0.741,-4.11,0.0596,0.0689,0.0,0.0589,0.434,121.332
193,Tricked Out,Duran Duran,0.549,0.88,-8.778,0.0355,0.0105,0.594,0.428,0.309,138.993
194,Zoom In,Duran Duran,0.667,0.77,-4.792,0.052,0.00558,0.000207,0.0881,0.694,130.694
195,She's Too Much,Duran Duran,0.73,0.863,-4.908,0.0352,0.55,0.0,0.128,0.382,116.0
196,Dirty Great Monster,Duran Duran,0.461,0.815,-4.262,0.0314,0.000421,0.00074,0.212,0.565,166.968
197,Last Man Standing,Duran Duran,0.741,0.632,-6.041,0.028,0.148,0.000639,0.133,0.728,119.649
198,Cry Baby Cry,Duran Duran,0.52,0.825,-5.123,0.239,0.202,0.0,0.0663,0.84,197.93
199,Nite-Runner - Live Version,Duran Duran,0.655,0.884,-5.449,0.0388,0.00196,8.3e-05,0.724,0.597,110.005
200,Red Carpet Massacre - Live Version,Duran Duran,0.574,0.937,-4.645,0.0439,0.0021,0.0,0.395,0.423,101.365
201,The Valley,Duran Duran,0.769,0.87,-4.23,0.0549,0.0212,0.00101,0.0709,0.642,124.959
202,Red Carpet Massacre,Duran Duran,0.725,0.816,-4.41,0.0453,0.254,1.05e-05,0.117,0.635,101.361
203,Nite-Runner,Duran Duran,0.779,0.576,-7.191,0.0515,0.000559,0.00316,0.0473,0.678,109.953
204,Falling Down (feat. Justin Timberlake),Duran Duran,0.55,0.697,-4.602,0.0258,6.69e-05,0.03,0.0977,0.543,85.995
205,Box full o' Honey,Duran Duran,0.7,0.643,-7.036,0.0289,0.141,5.18e-05,0.184,0.337,122.931
206,Skin Divers,Duran Duran,0.766,0.635,-8.149,0.0652,0.379,3.95e-05,0.124,0.511,116.967
207,Tempted,Duran Duran,0.733,0.746,-4.116,0.0555,0.0737,0.0,0.0595,0.48,121.33
208,Tricked Out,Duran Duran,0.548,0.88,-8.778,0.0355,0.0105,0.574,0.428,0.309,138.98
209,Zoom In,Duran Duran,0.668,0.77,-4.775,0.0512,0.00558,0.000207,0.0813,0.697,130.692
210,She's Too Much,Duran Duran,0.73,0.863,-4.908,0.0352,0.55,0.0,0.128,0.382,116.001
211,Dirty Great Monster,Duran Duran,0.461,0.815,-4.262,0.0314,0.000421,0.00074,0.212,0.565,166.968
212,Last Man Standing,Duran Duran,0.741,0.632,-6.041,0.028,0.148,0.000639,0.133,0.729,119.654
213,The Valley,Duran Duran,0.769,0.87,-4.23,0.0549,0.0212,0.00101,0.0709,0.642,124.959
214,Red Carpet Massacre,Duran Duran,0.725,0.816,-4.41,0.0453,0.254,1.05e-05,0.117,0.635,101.361
215,Nite-Runner,Duran Duran,0.779,0.576,-7.191,0.0515,0.000559,0.00316,0.0473,0.678,109.953
216,Falling Down (feat. Justin Timberlake),Duran Duran,0.55,0.697,-4.602,0.0258,6.69e-05,0.03,0.0977,0.543,85.995
217,Box full o' Honey,Duran Duran,0.7,0.643,-7.036,0.0289,0.141,5.18e-05,0.184,0.337,122.931
218,Skin Divers,Duran Duran,0.766,0.635,-8.149,0.0652,0.379,3.95e-05,0.124,0.511,116.967
219,Tempted,Duran Duran,0.733,0.746,-4.116,0.0555,0.0737,0.0,0.0595,0.48,121.33
220,Tricked Out,Duran Duran,0.548,0.88,-8.778,0.0355,0.0105,0.574,0.428,0.309,138.98
221,Zoom In,Duran Duran,0.668,0.77,-4.775,0.0512,0.00558,0.000207,0.0813,0.697,130.692
222,She's Too Much,Duran Duran,0.73,0.863,-4.908,0.0352,0.55,0.0,0.128,0.382,116.001
223,Dirty Great Monster,Duran Duran,0.461,0.815,-4.262,0.0314,0.000421,0.00074,0.212,0.565,166.968
224,Last Man Standing,Duran Duran,0.741,0.632,-6.041,0.028,0.148,0.000639,0.133,0.729,119.654
225,The Valley,Duran Duran,0.769,0.87,-4.23,0.0549,0.0212,0.00101,0.0713,0.642,124.959
226,Red Carpet Massacre,Duran Duran,0.725,0.816,-4.41,0.0453,0.254,1.05e-05,0.117,0.635,101.361
227,Nite-Runner,Duran Duran,0.779,0.576,-7.191,0.0515,0.000559,0.00316,0.0473,0.678,109.953
228,Falling Down (feat. Justin Timberlake),Duran Duran,0.55,0.697,-4.602,0.0258,6.69e-05,0.03,0.0958,0.543,85.995
229,Box full o' Honey,Duran Duran,0.7,0.643,-7.036,0.0289,0.141,5.18e-05,0.183,0.337,122.93
