,title,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
15639,Hotel Nacional,Gloria Estefan,0.878,0.653,-5.171,0.0469,0.0898,0.000589,0.218,0.518,127.971
15640,On,Gloria Estefan,0.707,0.819,-5.109,0.219,0.056,6.01e-05,0.0878,0.543,144.977
15641,Make My Heart Go,Gloria Estefan,0.756,0.925,-5.069,0.0395,0.0267,0.00354,0.138,0.894,139.975
15642,Medicine,Gloria Estefan,0.734,0.933,-5.727,0.123,0.119,0.0,0.0818,0.385,126.996
15643,Me Odio,Gloria Estefan,0.635,0.689,-5.133,0.0424,0.343,0.0,0.0482,0.772,170.003
15644,No Llores,Gloria Estefan,0.712,0.828,-4.421,0.0347,0.273,5.75e-06,0.726,0.946,107.951
15645,Lo Nuestro,Gloria Estefan,0.564,0.601,-5.178,0.0511,0.566,0.0,0.0683,0.793,120.087
15646,Píntame De Colores,Gloria Estefan,0.76,0.894,-4.454,0.154,0.656,0.0,0.103,0.968,96.01
15647,Caridad,Gloria Estefan,0.721,0.717,-3.083,0.0356,0.642,0.0,0.114,0.962,99.947
15648,Yo No Cambiaría,Gloria Estefan,0.791,0.567,-6.848,0.0345,0.58,0.0,0.103,0.885,110.001
15649,Bésame,Gloria Estefan,0.743,0.578,-4.933,0.034,0.766,0.0,0.262,0.86,139.916
15650,Refranes,Gloria Estefan,0.776,0.845,-3.816,0.0424,0.684,0.0,0.301,0.968,99.978
15651,A Bailar,Gloria Estefan,0.758,0.822,-4.123,0.0474,0.488,0.0,0.193,0.964,100.021
15652,Esta Fiesta No Va Acabar,Gloria Estefan,0.799,0.943,-4.554,0.171,0.198,0.0,0.0907,0.885,120.038
15653,Volveré,Gloria Estefan,0.522,0.689,-6.25,0.0429,0.333,0.0,0.41,0.915,82.145
15654,Esperando (Cuando Cuba Sea Libre),Gloria Estefan,0.762,0.643,-4.696,0.0306,0.44,0.0,0.223,0.807,110.042
15655,Morenita,Gloria Estefan,0.504,0.824,-4.325,0.168,0.0585,0.0,0.145,0.932,87.425
15656,90 Millas,Gloria Estefan,0.643,0.867,-3.768,0.0673,0.374,0.0,0.242,0.837,95.844
15657,Vueltas Da La Vida,Gloria Estefan,0.79,0.496,-7.161,0.0413,0.795,0.0,0.169,0.69,109.954
15658,No Llores - Remix featuring Wisin y Yandel,Gloria Estefan,0.833,0.829,-5.574,0.0431,0.0315,0.0,0.344,0.91,108.011
15659,Me Odio,Gloria Estefan,0.637,0.69,-5.124,0.0434,0.366,0.0,0.0497,0.762,170.006
15660,No Llores,Gloria Estefan,0.715,0.823,-4.441,0.0347,0.272,6.72e-06,0.677,0.946,107.973
15661,Lo Nuestro,Gloria Estefan,0.564,0.601,-5.176,0.0514,0.569,0.0,0.0676,0.789,120.101
15662,Píntame De Colores,Gloria Estefan,0.758,0.899,-4.476,0.145,0.643,0.0,0.104,0.967,96.029
15663,Caridad,Gloria Estefan,0.719,0.707,-3.079,0.0356,0.62,0.0,0.127,0.963,99.909
15664,Yo No Cambiaría,Gloria Estefan,0.789,0.568,-6.871,0.0347,0.586,0.0,0.102,0.871,110.009
15665,Bésame,Gloria Estefan,0.744,0.589,-4.936,0.0333,0.765,0.0,0.238,0.843,139.918
15666,Refranes,Gloria Estefan,0.777,0.846,-3.816,0.0423,0.681,0.0,0.311,0.968,99.973
15667,A Bailar,Gloria Estefan,0.758,0.827,-4.116,0.0462,0.478,0.0,0.192,0.964,100.024
15668,Esta Fiesta No Va Acabar,Gloria Estefan,0.801,0.943,-4.559,0.181,0.194,0.0,0.106,0.885,119.981
15669,Volveré,Gloria Estefan,0.63,0.687,-6.263,0.0421,0.333,0.0,0.411,0.925,82.51
15670,Esperando (Cuando Cuba Sea Libre),Gloria Estefan,0.759,0.646,-4.7,0.031,0.432,0.0,0.233,0.807,110.024
15671,Morenita,Gloria Estefan,0.429,0.823,-4.323,0.18,0.0523,0.0,0.147,0.941,86.43
15672,90 Millas,Gloria Estefan,0.449,0.867,-3.795,0.0835,0.371,0.0,0.241,0.798,128.154
15673,Me Odio,Gloria Estefan,0.637,0.69,-5.124,0.0434,0.366,0.0,0.0497,0.762,170.006
15674,No Llores,Gloria Estefan,0.715,0.823,-4.441,0.0347,0.272,6.72e-06,0.677,0.946,107.973
15675,Lo Nuestro,Gloria Estefan,0.564,0.601,-5.176,0.0514,0.569,0.0,0.0676,0.789,120.101
15676,Píntame De Colores,Gloria Estefan,0.758,0.899,-4.476,0.145,0.643,0.0,0.104,0.967,96.029
15677,Caridad,Gloria Estefan,0.719,0.707,-3.079,0.0356,0.62,0.0,0.127,0.963,99.909
15678,Yo No Cambiaría,Gloria Estefan,0.789,0.568,-6.871,0.0347,0.586,0.0,0.102,0.871,110.009
15679,Bésame,Gloria Estefan,0.744,0.589,-4.936,0.0333,0.765,0.0,0.238,0.843,139.918
15680,Refranes,Gloria Estefan,0.777,0.846,-3.816,0.0423,0.681,0.0,0.311,0.968,99.973
15681,A Bailar,Gloria Estefan,0.758,0.827,-4.116,0.0462,0.478,0.0,0.192,0.964,100.024
15682,Esta Fiesta No Va Acabar,Gloria Estefan,0.801,0.943,-4.559,0.181,0.194,0.0,0.106,0.885,119.981
15683,Volveré,Gloria Estefan,0.63,0.687,-6.263,0.0421,0.333,0.0,0.411,0.925,82.51
15684,Esperando (Cuando Cuba Sea Libre),Gloria Estefan,0.759,0.646,-4.7,0.031,0.432,0.0,0.233,0.807,110.024
15685,Morenita,Gloria Estefan,0.429,0.823,-4.323,0.18,0.0523,0.0,0.147,0.941,86.43
15686,90 Millas,Gloria Estefan,0.449,0.867,-3.795,0.0835,0.371,0.0,0.241,0.798,128.154
15687,Me Odio,Gloria Estefan,0.637,0.69,-5.124,0.0434,0.366,0.0,0.0497,0.762,170.006
15688,No Llores,Gloria Estefan,0.715,0.823,-4.441,0.0347,0.272,6.72e-06,0.677,0.946,107.973
15689,Lo Nuestro,Gloria Estefan,0.564,0.601,-5.176,0.0514,0.569,0.0,0.0676,0.789,120.101
15690,Píntame De Colores,Gloria Estefan,0.758,0.899,-4.476,0.145,0.643,0.0,0.104,0.967,96.029
15691,Caridad,Gloria Estefan,0.719,0.707,-3.079,0.0356,0.62,0.0,0.127,0.963,99.909
15692,Yo No Cambiaría,Gloria Estefan,0.789,0.568,-6.871,0.0347,0.586,0.0,0.102,0.871,110.009
